run,para_w_1,loss_loss,nstates_train,nstates_test,state_ind_for_test,train/loss,train/sloss,train/dloss,train/penalty,test/loss,test/sloss,test/dloss,test/penalty,rdmd_params/E0,rdmd_params/t,rdmd_params/U,rdmd_params/V
20,0.30000000000000004,23.92991489798219,29,1,[20],0.8259562117099107,0.002632357309310935,2.74704520531131,0.005075947064212506,1.0742202721963547,0.021848905543229342,3.5297534610536467,31.003089914363905,-0.5202786226253261,-0.024036787617038917,0.33194080047189817,0.024217726148025788
21,0.30000000000000004,23.581839960337806,29,1,[21],0.8143240749815936,0.0029782428122973516,2.7074643500432845,0.0046629593983437394,1.4492089714923932,0.019560118051677417,4.785056296187396,31.474573827445816,-0.5206544164288924,-0.023970730968623156,0.34097295940868455,0.022933944525237577
22,0.30000000000000004,24.066490150079353,29,1,[22],0.8300768127722662,0.004845650885055468,2.7556161905090906,0.0005641790352355419,0.9246350446296495,0.008666044952604798,3.0618960438760867,30.85836944553678,-0.518281132055728,-0.024492319782111954,0.3342178620080183,0.0220289391016796
23,0.30000000000000004,24.088585435117572,29,1,[23],0.8304820631019691,0.004684851031518362,2.7573422245996873,0.000854304394032223,0.898098278272512,0.012319830235251962,2.9649146570261182,30.75243262674686,-0.51866070328942,-0.023337049773824996,0.3286728978101053,0.023004213336384177
24,0.30000000000000004,23.86737273277162,29,1,[24],0.8233873326581043,0.004007299244793797,2.7352740772891617,0.0005648640070771313,1.0437160202176372,0.0010488715924627725,3.476606033676377,30.078882667057428,-0.5206281179420404,-0.022688786018421246,0.336311522373341,0.025005582415683746
25,0.30000000000000004,23.855161371102643,29,1,[25],0.8241528523774382,0.0035943294852328915,2.7387894057925837,9.788569820436237e-05,1.0669413289690384,0.005327955427896273,3.5440392005650363,32.00940743369714,-0.5207138871269859,-0.02247122958245503,0.3382851495756417,0.02247546119927702
26,0.30000000000000004,23.736683243437767,29,1,[26],0.8193863002890086,0.002758320392447852,2.724851586714317,0.00093963579136372,1.1874660063633582,0.005453518498044655,3.9454951447157565,31.648447593612584,-0.5194985482969485,-0.02356203023629778,0.3312088198192471,0.022692567712428915
27,0.30000000000000004,23.75838559433324,29,1,[27],0.8203880758918768,0.0043854901707307435,2.724394109241217,0.0014468657200411158,1.183801299967071,0.01290952025620972,3.915882119292413,33.86396612993056,-0.5205685459005731,-0.023394160789115114,0.334804855938212,0.02081244565609446
28,0.30000000000000004,23.943444055451668,29,1,[28],0.826952556712931,0.0024417852923480613,2.7508110233609573,0.0009132504003225405,0.9974059749619401,0.01470274277703495,3.290380183393385,31.963887879623094,-0.5202941390835867,-0.023959390909039466,0.3325985948252395,0.023101190973605343
29,0.30000000000000004,23.38677254289547,29,1,[29],0.8087867495841645,0.003488135718076864,2.687816848605035,9.626631588831889e-06,1.566720702690205,0.019587118392751818,5.176699066050928,31.350999775413545,-0.5185999782876896,-0.023639606515316727,0.33737995548451455,0.021312482055340694
