,r,beta,model_name,Spectrum RMSE (eV),Spectrum RMSE*<kt>/kT,dloss/z,trace,t_1,doccp,t_2,hophop,sisj,densityNN,densityNNN,density_hopNN,density_NN_hopNN,hopNN_hopNN_ijik,hopNN_hopNN_ijjk,ring_ijkl,ring_ijlk
74,4.8,0.3,"trace,t_1-doccp,density_NN_hopNN",0.226804265,0.00267173,0.152115225,-13.32623856,-1.89633121,9.752933329,,,,,,,0.630163287,,,,
75,4.8,0.4,"trace,t_1-doccp,density_NN_hopNN",0.231365435,0.001707557,0.152078478,-13.32471985,0.626317512,9.780299447,,,,,,,-0.636382269,,,,
76,4.8,0.6,"trace,t_1-doccp,density_NN_hopNN",0.236076619,0.000793488,0.152337524,-13.32352972,0.623124127,9.800096218,,,,,,,-0.638762404,,,,
77,4.8,0.8,"trace,t_1-doccp,density_NN_hopNN",0.234428532,0.000786017,0.152747375,-13.32327484,-1.895575965,9.783055067,,,,,,,0.620016135,,,,
78,4.8,1,"trace,t_1-doccp,density_NN_hopNN",0.232435425,0.000871713,0.159512148,-13.32323213,-1.83922836,9.754248262,,,,,,,0.592062012,,,,
79,3.2,0.05,"trace,t_1-doccp,density_hopNN",0.289670479,0.008716557,0.369908888,-13.1251925,-3.019782078,9.245509352,,,,,,0.663269905,,,,,
80,3.2,0.1,"trace,t_1-doccp,density_hopNN",0.290946737,0.012373354,0.370086097,-13.1296926,-2.988749844,9.205600421,,,,,,0.646554802,,,,,
81,3.2,0.125,"trace,t_1-doccp,density_hopNN",0.293295005,0.013105502,0.370178386,-13.13198263,-2.972180847,9.184397211,,,,,,0.63717117,,,,,
82,3.2,0.15,"trace,t_1-doccp,density_hopNN",0.295544887,0.01337123,0.370273051,-13.13427289,-2.955013865,9.162472706,,,,,,0.62713379,,,,,
83,3.2,0.2,"trace,t_1-doccp,density_hopNN",0.298866046,0.012912163,0.373577438,-13.13999235,-2.828384515,9.065518469,,,,,,0.5216901,,,,,
84,3.2,0.3,"trace,t_1-doccp,density_hopNN",0.288595654,0.010451907,0.38169935,-13.15531673,-2.264668003,8.896520831,,,,,,1.75E-07,,,,,
85,3.2,0.4,"trace,t_1-doccp,density_hopNN",0.297136177,0.008537479,0.381811204,-13.15843248,-2.251742421,8.828431877,,,,,,3.11E-07,,,,,
86,3.2,0.6,"trace,t_1-doccp,density_hopNN",0.309928147,0.006442584,0.381623047,-13.15887922,-2.241918825,8.753661874,,,,,,-1.20E-06,,,,,
87,3.2,0.8,"trace,t_1-doccp,density_hopNN",0.30896261,0.005221425,0.381477782,-13.15464015,-2.244577925,8.739039573,,,,,,-2.29E-06,,,,,
88,3.2,1,"trace,t_1-doccp,density_hopNN",0.66309543,0.004100722,0.397694174,-13.14831685,-2.248519946,8.716076668,,,,,,-9.33E-07,,,,,
89,4,0.05,"trace,t_1-doccp,density_hopNN",0.207698906,0.005563105,0.118936955,-13.32010122,-0.629318901,9.547018272,,,,,,-0.632152157,,,,,
90,4,0.1,"trace,t_1-doccp,density_hopNN",0.208793083,0.007743657,0.122282236,-13.32048083,-0.614750216,9.559198254,,,,,,-0.646364076,,,,,
91,4,0.2,"trace,t_1-doccp,density_hopNN",0.206185525,0.007574539,0.119616901,-13.32256697,-0.640759295,9.499968903,,,,,,-0.609447239,,,,,
92,4.8,0.05,"trace,t_1-doccp,density_hopNN",0.198242004,0.002411648,0.194550806,-13.31886403,-0.223411656,9.787026175,,,,,,-0.461901128,,,,,
93,4.8,0.1,"trace,t_1-doccp,density_hopNN",0.19355659,0.003204129,0.197285603,-13.32159888,-0.234896025,9.716300399,,,,,,-0.431240116,,,,,
94,4.8,0.125,"trace,t_1-doccp,density_hopNN",0.206315968,0.006595722,0.203899458,-13.30721597,-0.02678702,10.35052943,,,,,,-0.745196441,,,,,
95,4.8,0.15,"trace,t_1-doccp,density_hopNN",0.199508639,0.003203567,0.197476181,-13.32192607,-0.235584531,9.708082156,,,,,,-0.428221617,,,,,
96,4.8,0.2,"trace,t_1-doccp,density_hopNN",0.204898788,0.006792327,0.204768195,-13.31164782,-0.02455533,10.28943239,,,,,,-0.719314961,,,,,
97,4.8,0.3,"trace,t_1-doccp,density_hopNN",0.207910185,0.005563578,0.205903072,-13.31606596,-0.022082052,10.23935027,,,,,,-0.693751033,,,,,
98,4.8,0.4,"trace,t_1-doccp,density_hopNN",0.350119524,0.001125875,0.35805858,-13.32236534,0.215715809,10.55206035,,,,,,-0.902655566,,,,,
99,4.8,0.6,"trace,t_1-doccp,density_hopNN",0.35230425,0.000411423,0.359566192,-13.32255732,0.218911802,10.55337106,,,,,,-0.904678947,,,,,
100,4.8,0.8,"trace,t_1-doccp,density_hopNN",0.202488011,0.000482222,0.191896364,-13.32298613,-0.246891166,9.664446159,,,,,,-0.408959031,,,,,
101,4.8,1,"trace,t_1-doccp,density_hopNN",0.202569116,0.00054391,0.191994747,-13.32300502,-0.248149363,9.659459076,,,,,,-0.407429424,,,,,
102,4.8,2,"trace,t_1-doccp,density_hopNN",0,0,0,-13.32300502,-0.248149363,9.659459076,,,,,,-0.407429424,,,,,
103,4.8,4,"trace,t_1-doccp,density_hopNN",0,0,0,-13.32300502,-0.248149363,9.659459076,,,,,,-0.407429424,,,,,
104,4.8,8,"trace,t_1-doccp,density_hopNN",0,0,0,-13.32300502,-0.248149363,9.659459076,,,,,,-0.407429424,,,,,
105,3.2,0.05,"trace,t_1-doccp,hopNN_hopNN_ijik",0.342860172,0.00747155,0.408321865,-13.23667484,-2.138716701,9.191992529,,,,,,,,-0.225819382,,,
106,3.2,0.1,"trace,t_1-doccp,hopNN_hopNN_ijik",0.299999285,0.012004528,0.379138923,-13.15880995,-2.256530636,9.027989423,,,,,,,,-0.151256013,,,
107,3.2,0.125,"trace,t_1-doccp,hopNN_hopNN_ijik",0.300168899,0.012659714,0.379090893,-13.15964092,-2.254521395,9.019438731,,,,,,,,-0.146445801,,,
108,3.2,0.15,"trace,t_1-doccp,hopNN_hopNN_ijik",0.300432374,0.012877693,0.37903771,-13.16049396,-2.252382868,9.00986971,,,,,,,,-0.141419548,,,
109,3.2,0.2,"trace,t_1-doccp,hopNN_hopNN_ijik",0.334690111,0.011435048,0.423228638,-13.18715443,-2.281204105,9.1254577,,,,,,,,0.267255774,,,
110,3.2,0.3,"trace,t_1-doccp,hopNN_hopNN_ijik",0.305471593,0.010563668,0.378509169,-13.16488478,-2.239738488,8.930436749,,,,,,,,-0.104407502,,,
111,3.2,0.4,"trace,t_1-doccp,hopNN_hopNN_ijik",0.325736498,0.008489864,0.392174091,-13.14837974,-2.275027473,8.796132621,,,,,,,,0.08935726,,,
112,3.2,0.6,"trace,t_1-doccp,hopNN_hopNN_ijik",0.342845298,0.006305211,0.391965007,-13.1472514,-2.264181162,8.684926949,,,,,,,,0.09539648,,,
113,3.2,0.8,"trace,t_1-doccp,hopNN_hopNN_ijik",0.342738682,0.005022691,0.39131918,-13.13767085,-2.275972658,8.647373999,,,,,,,,0.126824273,,,
114,3.2,1,"trace,t_1-doccp,hopNN_hopNN_ijik",0.649576721,0.003790535,0.40231653,-13.12089778,-2.297988403,8.586422302,,,,,,,,0.187189277,,,
115,4,0.05,"trace,t_1-doccp,hopNN_hopNN_ijik",0.194992039,0.005715014,0.107845002,-13.36257578,-1.060756271,9.317320732,,,,,,,,-0.622748608,,,
116,4,0.1,"trace,t_1-doccp,hopNN_hopNN_ijik",0.198545699,0.008162087,0.104261665,-13.35867693,-1.079160626,9.346704969,,,,,,,,-0.613552904,,,
117,4,0.2,"trace,t_1-doccp,hopNN_hopNN_ijik",0.206269313,0.008459642,0.103593805,-13.35225328,-1.107943935,9.394826023,,,,,,,,-0.600402936,,,
118,4.8,0.05,"trace,t_1-doccp,hopNN_hopNN_ijik",0.24309957,0.002472807,0.186226647,-13.31367169,-0.734135272,9.599197943,,,,,,,,0.795911603,,,
119,4.8,0.1,"trace,t_1-doccp,hopNN_hopNN_ijik",0.23181738,0.003401572,0.192718477,-13.31480032,-0.726272132,9.580507704,,,,,,,,0.784107118,,,
120,4.8,0.125,"trace,t_1-doccp,hopNN_hopNN_ijik",0.236263913,0.0035358,0.194845054,-13.3154664,-0.721497023,9.567698688,,,,,,,,0.773368922,,,
121,4.8,0.15,"trace,t_1-doccp,hopNN_hopNN_ijik",0.202721549,0.005328709,0.179246376,-13.33755585,-0.540376869,9.451299158,,,,,,,,-0.393965008,,,
122,4.8,0.2,"trace,t_1-doccp,hopNN_hopNN_ijik",0.239526749,0.003392109,0.196377767,-13.31647851,-0.714435584,9.550351593,,,,,,,,0.762424018,,,
